Name,Pos,Team,Overall,Season
Joe Flacco,QB,BAL,161.5,2014
NY Jets Defense,DST,NYJ,164.6,2014
Cleveland Defense,DST,CLE,164.7,2014
Phil Dawson,K,SF,164.8,2014
Tampa Bay Defense,DST,TB,166.6,2014
Matt Bryant,K,ATL,167.9,2014
Adam Vinatieri,K,IND,168.7,2014
Blair Walsh,K,MIN,169.9,2014
Matt Prater,K,DEN,170.4,2014
Robbie Gould,K,CHI,171.6,2014
Shayne Graham,K,NO,172.3,2014
Nate Freese,K,DET,173,2014
Greg Zuerlein,K,LA,173.6,2014
Nick Novak,K,LAC,173.9,2014
Adrian Peterson,RB,MIN,1.8,2015
Antonio Brown,WR,PIT,2.5,2015
LeVeon Bell,RB,PIT,3.1,2015
Eddie Lacy,RB,GB,4,2015
Jamaal Charles,RB,KC,4.5,2015
Julio Jones,WR,ATL,6.2,2015
Dez Bryant,WR,DAL,7.6,2015
Marshawn Lynch,RB,SEA,8.6,2015
Demaryius Thomas,WR,DEN,9.1,2015
Rob Gronkowski,TE,NE,10.3,2015
CJ Anderson,RB,DEN,10.7,2015
Odell Beckham Jr,WR,NYG,11.4,2015
Calvin Johnson,WR,DET,13.1,2015
Matt Forte,RB,CHI,13.7,2015
Jeremy Hill,RB,CIN,14.4,2015
Randall Cobb,WR,GB,15.9,2015
A.J. Green,WR,CIN,16.7,2015
Andrew Luck,QB,IND,16.9,2015
DeMarco Murray,RB,PHI,17.6,2015
Justin Forsett,RB,BAL,19.3,2015
Brandin Cooks,WR,NO,20.6,2015
Lamar Miller,RB,MIA,22.3,2015
T.Y. Hilton,WR,IND,22.8,2015
Jordan Matthews,WR,PHI,24.4,2015
LeSean McCoy,RB,BUF,24.4,2015
Alshon Jeffery,WR,CHI,26.1,2015
Aaron Rodgers,QB,GB,27.1,2015
Frank Gore,RB,IND,27.7,2015
DeAndre Hopkins,WR,HOU,28.7,2015
Mike Evans,WR,TB,30,2015
Mark Ingram,RB,NO,31,2015
Emmanuel Sanders,WR,DEN,31.9,2015
Latavius Murray,RB,LV,33.2,2015
Jimmy Graham,TE,SEA,33.5,2015
Davante Adams,WR,GB,34.6,2015
Jarvis Landry,WR,MIA,36.6,2015
Arian Foster,RB,HOU,37.5,2015
Andre Johnson,WR,IND,37.7,2015
Doug Martin,RB,TB,38,2015
Jeremy Maclin,WR,KC,38.8,2015
Amari Cooper,WR,LV,40.8,2015
Ameer Abdullah,RB,DET,41.5,2015
Julian Edelman,WR,NE,41.9,2015
Golden Tate,WR,DET,43.5,2015
Andre Ellington,RB,ARI,43.7,2015
Carlos Hyde,RB,SF,44.7,2015
Greg Olsen,TE,CAR,45.1,2015
Chris Ivory,RB,NYJ,47.6,2015
Alfred Morris,RB,WAS,48.2,2015
Keenan Allen,WR,LAC,48.7,2015
Brandon Marshall,WR,NYJ,50.5,2015
Travis Kelce,TE,KC,50.6,2015
Melvin Gordon,RB,LAC,51.8,2015
Jonathan Stewart,RB,CAR,53,2015
Allen Robinson,WR,JAX,53.5,2015
Peyton Manning,QB,DEN,54.9,2015
Joseph Randle,RB,DAL,56.6,2015
Nelson Agholor,WR,PHI,56.6,2015
Drew Brees,QB,NO,56.8,2015
C.J. Spiller,RB,NO,57.9,2015
Todd Gurley,RB,LA,60.2,2015
Martellus Bennett,TE,CHI,60.3,2015
Charles Johnson,WR,MIN,61.6,2015
Sammy Watkins,WR,None,62.5,2015
TJ Yeldon,RB,JAX,63.1,2015
Ben Roethlisberger,QB,PIT,63.8,2015
John Brown,WR,ARI,64.3,2015
Tom Brady,QB,NE,67,2015
Martavis Bryant,WR,PIT,67.2,2015
LeGarrette Blount,RB,NE,68.5,2015
Russell Wilson,QB,SEA,68.7,2015
Danny Woodhead,RB,LAC,69,2015
Vincent Jackson,WR,TB,70.1,2015
Steve Smith,WR,BAL,72.1,2015
DeSean Jackson,WR,WAS,74,2015
Giovani Bernard,RB,CIN,75.5,2015
Jordan Cameron,TE,MIA,76.9,2015
Shane Vereen,RB,NYG,77.9,2015
Matt Ryan,QB,ATL,78.2,2015
Ryan Mathews,RB,PHI,78.9,2015
Joique Bell,RB,DET,80.5,2015
Tony Romo,QB,DAL,80.8,2015
Rashad Jennings,RB,NYG,81.7,2015
Sam Bradford,QB,PHI,82.1,2015
Jason Witten,TE,DAL,83.7,2015
Larry Fitzgerald,WR,ARI,84.1,2015
Eddie Royal,WR,CHI,84.6,2015
Darren McFadden,RB,DAL,84.6,2015
Alfred Blue,RB,HOU,86.4,2015
Kendall Wright,WR,TEN,88,2015
Tevin Coleman,RB,ATL,88.9,2015
Ryan Tannehill,QB,MIA,89.1,2015
Owen Daniels,TE,DEN,89.7,2015
Mike Wallace,WR,MIN,89.9,2015
Victor Cruz,WR,NYG,91.3,2015
Markus Wheaton,WR,PIT,94.1,2015
Matthew Stafford,QB,DET,94.6,2015
Isaiah Crowell,RB,CLE,95.4,2015
Tyler Eifert,TE,CIN,95.5,2015
Devin Funchess,WR,CAR,96.1,2015
Devonta Freeman,RB,ATL,96.2,2015
Anquan Boldin,WR,SF,97.3,2015
Delanie Walker,TE,TEN,98,2015
Bishop Sankey,RB,TEN,100.2,2015
Seattle Defense,DST,SEA,101.3,2015
Steve Johnson,WR,LAC,101.3,2015
Duke Johnson,RB,CLE,101.8,2015
Eric Decker,WR,NYJ,105.3,2015
Eli Manning,QB,NYG,105.9,2015
Darren Sproles,RB,PHI,106.4,2015
Brian Quick,WR,LA,106.8,2015
Tre Mason,RB,LA,109,2015
Roddy White,WR,ATL,109,2015
DeVante Parker,WR,MIA,109.5,2015
Kyle Rudolph,TE,MIN,110.5,2015
Buffalo Defense,DST,BUF,111.3,2015
Terrance Williams,WR,DAL,112.4,2015
Philip Rivers,QB,LAC,113.3,2015
Ronnie Hillman,RB,DEN,114,2015
Houston Defense,DST,HOU,116.3,2015
David Johnson,RB,ARI,118,2015
Marques Colston,WR,NO,118.3,2015
Cam Newton,QB,CAR,119.1,2015
Pierre Garcon,WR,WAS,119.3,2015
Miami Defense,DST,MIA,120.4,2015
Knile Davis,RB,KC,121.2,2015
Teddy Bridgewater,QB,MIN,122.5,2015
Brandon Coleman,WR,NO,123.6,2015
Matt Jones,RB,WAS,124.4,2015
Michael Floyd,WR,ARI,126.2,2015
Zach Ertz,TE,PHI,126.2,2015
LA Rams Defense,DST,LA,127,2015
Carson Palmer,QB,ARI,128.4,2015
DeAngelo Williams,RB,PIT,129.1,2015
Reggie Bush,RB,SF,129.5,2015
Ty Montgomery,WR,NO,129.5,2015
David Cobb,RB,TEN,130.4,2015
Julius Thomas,TE,JAX,130.5,2015
Torrey Smith,WR,SF,130.6,2015
Marvin Jones,WR,CIN,133.9,2015
NY Jets Defense,DST,NYJ,135,2015
Michael Crabtree,WR,LV,135.6,2015
Philadelphia Defense,DST,PHI,138.9,2015
Brandon LaFell,WR,NE,139.6,2015
Tyler Lockett,WR,SEA,140.2,2015
Antonio Gates,TE,LAC,140.4,2015
Denver Defense,DST,DEN,140.7,2015
Roy Helu,RB,LV,142.7,2015
Dwayne Allen,TE,IND,145.1,2015
Breshad Perriman,WR,BAL,145.4,2015
Stephen Gostkowski,K,NE,145.7,2015
Cameron Artis-Payne,RB,CAR,145.8,2015
Joe Flacco,QB,BAL,146,2015
Dorial Green-Beckham,WR,TEN,147,2015
Colin Kaepernick,QB,SF,147.5,2015
Rueben Randle,WR,NYG,147.7,2015
Adam Vinatieri,K,IND,148.1,2015
Doug Baldwin,WR,SEA,148.4,2015
Christine Michael,RB,SEA,148.8,2015
Vernon Davis,TE,SF,150.3,2015
Charles Sims,RB,TB,150.3,2015
Jonas Gray,RB,NE,150.9,2015
Richard Rodgers,TE,GB,151.6,2015
Arizona Defense,DST,ARI,152.7,2015
James Jones,WR,LV,153.9,2015
Allen Hurns,WR,JAX,153.9,2015
Phillip Dorsett,WR,IND,153.9,2015
Denard Robinson,RB,JAX,154.2,2015
Tyrod Taylor,QB,BUF,154.5,2015
Andre Williams,RB,NYG,154.8,2015
Jay Cutler,QB,CHI,155.7,2015
Carolina Defense,DST,CAR,156.2,2015
Josh Hill,TE,NO,156.5,2015
James Starks,RB,GB,156.5,2015
Khiry Robinson,RB,NO,156.8,2015
Steven Hauschka,K,SEA,156.8,2015
Cody Parkey,K,PHI,158.2,2015
Jordan Reed,TE,WAS,158.4,2015
Austin Seferian-Jenkins,TE,TB,158.8,2015
Kansas City Defense,DST,KC,159.7,2015
Cody Latimer,WR,DEN,161,2015
Dan Bailey,K,DAL,161.2,2015
Kenny Stills,WR,MIA,162,2015
Marcus Mariota,QB,TEN,162.6,2015
Jeff Janis,WR,GB,163.1,2015
Derek Carr,QB,LV,163.2,2015
Justin Tucker,K,BAL,163.5,2015
Mason Crosby,K,GB,163.6,2015
New England Defense,DST,NE,164,2015
Baltimore Defense,DST,BAL,166.5,2015
Minnesota Defense,DST,MIN,167.6,2015
Indianapolis Defense,DST,IND,167.7,2015
Brandon McManus,K,DEN,168.1,2015
Matt Bryant,K,ATL,170.5,2015
Matt Prater,K,DET,171.4,2015
Sebastian Janikowski,K,LV,171.9,2015
Josh Scobee,K,JAX,172.4,2015
Greg Zuerlein,K,LA,173,2015
Blair Walsh,K,MIN,173.7,2015
Antonio Brown,WR,PIT,1.2,2016
Julio Jones,WR,ATL,2.8,2016
Odell Beckham Jr,WR,NYG,3.4,2016
David Johnson,RB,ARI,3.4,2016
Todd Gurley,RB,LA,6.3,2016
A.J. Green,WR,CIN,6.4,2016
DeAndre Hopkins,WR,HOU,6.4,2016
Ezekiel Elliott,RB,DAL,8.3,2016
Allen Robinson,WR,JAX,9.2,2016
Lamar Miller,RB,HOU,9.8,2016
Adrian Peterson,RB,MIN,10.7,2016
LeVeon Bell,RB,PIT,12.3,2016
Brandon Marshall,WR,NYJ,13,2016
Keenan Allen,WR,LAC,13.8,2016
Rob Gronkowski,TE,NE,14.2,2016
Mike Evans,WR,TB,15.7,2016
Dez Bryant,WR,DAL,16.4,2016
Jordy Nelson,WR,GB,17.3,2016
Devonta Freeman,RB,ATL,19.2,2016
Jamaal Charles,RB,KC,19.4,2016
Amari Cooper,WR,LV,20.1,2016
LeSean McCoy,RB,BUF,22,2016
Alshon Jeffery,WR,CHI,22.1,2016
Brandin Cooks,WR,NO,23.3,2016
Eddie Lacy,RB,GB,24,2016
Mark Ingram,RB,NO,25.5,2016
Jarvis Landry,WR,MIA,26.9,2016
Sammy Watkins,WR,BUF,28.3,2016
T.Y. Hilton,WR,IND,29.4,2016
Demaryius Thomas,WR,DEN,29.7,2016
Doug Martin,RB,TB,30.8,2016
Randall Cobb,WR,GB,31.5,2016
CJ Anderson,RB,DEN,33.2,2016
Cam Newton,QB,CAR,34.5,2016
Jordan Reed,TE,WAS,35.1,2016
Julian Edelman,WR,NE,35.1,2016
Latavius Murray,RB,LV,35.8,2016
Jeremy Maclin,WR,KC,37.3,2016
Donte Moncrief,WR,IND,38.4,2016
Aaron Rodgers,QB,GB,38.7,2016
Kelvin Benjamin,WR,CAR,39.2,2016
DeMarco Murray,RB,TEN,40.3,2016
Thomas Rawls,RB,SEA,41,2016
Matt Forte,RB,NYJ,43.1,2016
Golden Tate,WR,DET,43.6,2016
Eric Decker,WR,NYJ,44.9,2016
Carlos Hyde,RB,SF,45.7,2016
Jeremy Langford,RB,CHI,47.1,2016
Greg Olsen,TE,CAR,48.4,2016
Doug Baldwin,WR,SEA,48.8,2016
Jeremy Hill,RB,CIN,49.1,2016
Josh Gordon,WR,CLE,49.8,2016
Michael Floyd,WR,ARI,52.3,2016
Russell Wilson,QB,SEA,53.2,2016
Melvin Gordon,RB,LAC,53.7,2016
Danny Woodhead,RB,LAC,53.7,2016
Marvin Jones,WR,DET,56.2,2016
Arian Foster,RB,MIA,57.4,2016
Giovani Bernard,RB,CIN,57.7,2016
Andrew Luck,QB,IND,58.3,2016
Larry Fitzgerald,WR,ARI,60.2,2016
Ryan Mathews,RB,PHI,60.4,2016
Drew Brees,QB,NO,61.1,2016
Jonathan Stewart,RB,CAR,62.8,2016
Delanie Walker,TE,TEN,64,2016
Jordan Matthews,WR,PHI,64.2,2016
Travis Kelce,TE,KC,64.3,2016
Allen Hurns,WR,JAX,65.5,2016
Duke Johnson,RB,CLE,66.9,2016
Tom Brady,QB,NE,68.5,2016
DeAngelo Williams,RB,PIT,69.1,2016
Emmanuel Sanders,WR,DEN,70.6,2016
Ben Roethlisberger,QB,PIT,72,2016
Coby Fleener,TE,NO,72.7,2016
Tyler Lockett,WR,SEA,73.4,2016
Frank Gore,RB,IND,73.8,2016
Rashad Jennings,RB,NYG,74.9,2016
John Brown,WR,ARI,78.3,2016
Matt Jones,RB,WAS,78.4,2016
Derrick Henry,RB,TEN,78.5,2016
Michael Crabtree,WR,LV,78.6,2016
Gary Barnidge,TE,CLE,79.6,2016
DeSean Jackson,WR,WAS,81.9,2016
Ameer Abdullah,RB,DET,82.1,2016
Carson Palmer,QB,ARI,83.8,2016
Chris Ivory,RB,JAX,84.1,2016
Sterling Shepard,WR,NYG,84.7,2016
Blake Bortles,QB,JAX,86.1,2016
Charles Sims,RB,TB,87.2,2016
Zach Ertz,TE,PHI,88.2,2016
Justin Forsett,RB,BAL,90.7,2016
James White,RB,NE,90.9,2016
LeGarrette Blount,RB,NE,91.6,2016
DeVante Parker,WR,MIA,91.7,2016
Willie Snead,WR,NO,92.1,2016
Eli Manning,QB,NYG,93.3,2016
TJ Yeldon,RB,JAX,93.7,2016
Philip Rivers,QB,LAC,96.8,2016
Kevin White,WR,CHI,97.7,2016
Julius Thomas,TE,JAX,98,2016
Devin Funchess,WR,CAR,98.5,2016
Stefon Diggs,WR,MIN,99.2,2016
Christine Michael,RB,SEA,99.6,2016
Theo Riddick,RB,DET,99.8,2016
Antonio Gates,TE,LAC,101.7,2016
Denver Defense,DST,DEN,103.5,2016
Derek Carr,QB,LV,103.5,2016
Travis Benjamin,WR,LAC,104.2,2016
Kamar Aiken,WR,BAL,105.8,2016
Bilal Powell,RB,NYJ,105.9,2016
Isaiah Crowell,RB,CLE,106.9,2016
Tyler Eifert,TE,CIN,108.4,2016
Kirk Cousins,QB,WAS,109.6,2016
Tavon Austin,WR,LA,109.8,2016
Arizona Defense,DST,ARI,109.9,2016
Jay Ajayi,RB,MIA,111.3,2016
Corey Coleman,WR,CLE,112.2,2016
Seattle Defense,DST,SEA,114.1,2016
Tyrod Taylor,QB,BUF,114.3,2016
Tajae Sharpe,WR,TEN,115.1,2016
Darren Sproles,RB,PHI,116.8,2016
Martellus Bennett,TE,NE,117.3,2016
Matthew Stafford,QB,DET,118.6,2016
Michael Thomas,WR,NO,118.7,2016
Tevin Coleman,RB,ATL,119.5,2016
Vincent Jackson,WR,TB,119.9,2016
Markus Wheaton,WR,PIT,122.3,2016
Jameis Winston,QB,TB,123.4,2016
Carolina Defense,DST,CAR,123.6,2016
Steve Smith,WR,BAL,124.6,2016
Spencer Ware,RB,KC,125.8,2016
DeAndre Washington,RB,LV,126.2,2016
Torrey Smith,WR,SF,127.3,2016
Houston Defense,DST,HOU,130.1,2016
Dion Lewis,RB,NE,130.2,2016
Alfred Morris,RB,DAL,130.2,2016
Will Fuller,WR,HOU,130.4,2016
Dwayne Allen,TE,IND,131.2,2016
Andy Dalton,QB,CIN,132.7,2016
Kansas City Defense,DST,KC,133.4,2016
Mohamed Sanu,WR,ATL,134.1,2016
Marcus Mariota,QB,TEN,136.3,2016
Jared Cook,TE,GB,137,2016
Tyler Boyd,WR,CIN,137.6,2016
Rishard Matthews,WR,TEN,138.3,2016
Devontae Booker,RB,DEN,140.9,2016
Stephen Gostkowski,K,NE,142.6,2016
Chris Hogan,WR,NE,142.6,2016
Jimmy Graham,TE,SEA,144.3,2016
Dak Prescott,QB,DAL,144.8,2016
NY Jets Defense,DST,NYJ,145.8,2016
Matt Ryan,QB,ATL,146.5,2016
Minnesota Defense,DST,MIN,147.8,2016
Jerick McKinnon,RB,MIN,148.8,2016
Phillip Dorsett,WR,IND,148.9,2016
Shane Vereen,RB,NYG,149.9,2016
Ryan Fitzpatrick,QB,NYJ,151.1,2016
Kenny Stills,WR,MIA,151.2,2016
Jason Witten,TE,DAL,151.2,2016
Steven Hauschka,K,SEA,152.1,2016
New England Defense,DST,NE,152.2,2016
Mike Wallace,WR,BAL,153.2,2016
Ted Ginn Jr,WR,CAR,153.5,2016
James Starks,RB,GB,154.9,2016
Chris Thompson,RB,WAS,155.2,2016
Sammie Coates,WR,PIT,156.1,2016
Zach Miller,TE,CHI,157.4,2016
Ryan Tannehill,QB,MIA,157.4,2016
Terrelle Pryor,WR,CLE,157.7,2016
Terrance West,RB,BAL,158.5,2016
Justin Tucker,K,BAL,158.8,2016
LA Rams Defense,DST,LA,158.9,2016
Robert Griffin III,QB,CLE,159.3,2016
Dorial Green-Beckham,WR,PHI,159.3,2016
Chris Johnson,RB,ARI,159.4,2016
Graham Gano,K,CAR,160.6,2016
Cincinnati Defense,DST,CIN,160.9,2016
Dan Bailey,K,DAL,162,2016
Brock Osweiler,QB,HOU,163.3,2016
Chandler Catanzaro,K,ARI,163.4,2016
Las Vegas Defense,DST,LV,164.7,2016
Philadelphia Defense,DST,PHI,165.4,2016
Green Bay Defense,DST,GB,167.1,2016
Brandon McManus,K,DEN,169.6,2016
Mason Crosby,K,GB,169.9,2016
Adam Vinatieri,K,IND,170.5,2016
Chris Boswell,K,PIT,172.4,2016
Cairo Santos,K,KC,173.4,2016
David Johnson,RB,ARI,1.3,2017
LeVeon Bell,RB,PIT,2.3,2017
Antonio Brown,WR,PIT,3.7,2017
Julio Jones,WR,ATL,5.7,2017
Ezekiel Elliott,RB,DAL,6.2,2017
Odell Beckham Jr,WR,NYG,6.4,2017
Devonta Freeman,RB,ATL,7,2017
LeSean McCoy,RB,BUF,7.8,2017
Mike Evans,WR,TB,7.9,2017
A.J. Green,WR,CIN,10,2017
Melvin Gordon,RB,LAC,10.1,2017
Jordy Nelson,WR,GB,11.4,2017
Michael Thomas,WR,NO,13.3,2017
Jay Ajayi,RB,PHI,13.8,2017
DeMarco Murray,RB,TEN,15.2,2017
Jordan Howard,RB,CHI,16.8,2017
Brandin Cooks,WR,NE,17.1,2017
Rob Gronkowski,TE,NE,18.1,2017
Kareem Hunt,RB,KC,18.7,2017
Todd Gurley,RB,LA,19.4,2017
Dez Bryant,WR,DAL,20.5,2017
Amari Cooper,WR,LV,21.3,2017
Doug Baldwin,WR,SEA,22.4,2017
Christian McCaffrey,RB,CAR,22.9,2017
Aaron Rodgers,QB,GB,23.4,2017
Keenan Allen,WR,LAC,25.8,2017
Leonard Fournette,RB,JAX,27,2017
Dalvin Cook,RB,MIN,27.5,2017
T.Y. Hilton,WR,IND,28.8,2017
Tom Brady,QB,NE,29.6,2017
Isaiah Crowell,RB,CLE,29.8,2017
Terrelle Pryor,WR,WAS,30.2,2017
DeAndre Hopkins,WR,HOU,31.7,2017
Ty Montgomery,RB,GB,32.6,2017
Demaryius Thomas,WR,DEN,34.5,2017
Carlos Hyde,RB,SF,35.2,2017
Lamar Miller,RB,HOU,35.2,2017
Marshawn Lynch,RB,LV,36.4,2017
Kelvin Benjamin,WR,BUF,38.6,2017
Travis Kelce,TE,KC,38.9,2017
Alshon Jeffery,WR,PHI,39.1,2017
Martavis Bryant,WR,PIT,40.9,2017
Drew Brees,QB,NO,41.7,2017
Joe Mixon,RB,CIN,42.5,2017
Michael Crabtree,WR,LV,43.7,2017
Davante Adams,WR,GB,44.9,2017
Tyreek Hill,WR,KC,45.5,2017
Golden Tate,WR,DET,47.8,2017
Larry Fitzgerald,WR,ARI,48.4,2017
Bilal Powell,RB,NYJ,48.6,2017
Doug Martin,RB,TB,49,2017
CJ Anderson,RB,DEN,51.4,2017
Greg Olsen,TE,CAR,51.5,2017
DeVante Parker,WR,MIA,51.9,2017
Ameer Abdullah,RB,DET,53,2017
Jordan Reed,TE,WAS,54.1,2017
Stefon Diggs,WR,MIN,54.8,2017
Matt Ryan,QB,ATL,56.4,2017
Allen Robinson,WR,JAX,57,2017
Jimmy Graham,TE,SEA,57.6,2017
Mark Ingram,RB,NO,57.6,2017
Jamison Crowder,WR,WAS,61.2,2017
Danny Woodhead,RB,BAL,61.7,2017
Jarvis Landry,WR,MIA,64,2017
Russell Wilson,QB,SEA,64.3,2017
Brandon Marshall,WR,NYG,65.2,2017
Mike Gillislee,RB,NE,65.3,2017
Pierre Garcon,WR,SF,66.4,2017
Rob Kelley,RB,WAS,67,2017
Adrian Peterson,RB,ARI,69.9,2017
Sammy Watkins,WR,LA,70,2017
Tyler Eifert,TE,CIN,70.4,2017
Zach Ertz,TE,PHI,72.8,2017
Tevin Coleman,RB,ATL,73.2,2017
Emmanuel Sanders,WR,DEN,73.9,2017
Derek Carr,QB,LV,74.2,2017
Darren McFadden,RB,DAL,75.3,2017
Chris Hogan,WR,NE,76.5,2017
Marcus Mariota,QB,TEN,76.8,2017
Derrick Henry,RB,TEN,77.9,2017
Delanie Walker,TE,TEN,79.9,2017
Jameis Winston,QB,TB,82.4,2017
Theo Riddick,RB,DET,83,2017
Paul Perkins,RB,NYG,83.4,2017
Jeremy Maclin,WR,BAL,83.4,2017
Kyle Rudolph,TE,MIN,83.6,2017
Willie Snead,WR,NO,83.8,2017
Frank Gore,RB,IND,86.1,2017
Kirk Cousins,QB,WAS,86.3,2017
Terrance West,RB,BAL,86.8,2017
Martellus Bennett,TE,NE,87.6,2017
Eric Decker,WR,TEN,88.7,2017
Cam Newton,QB,CAR,89.9,2017
DeSean Jackson,WR,TB,90.4,2017
LeGarrette Blount,RB,PHI,91.9,2017
Randall Cobb,WR,GB,92.2,2017
Duke Johnson,RB,CLE,94.2,2017
Tyrell Williams,WR,LAC,95,2017
Thomas Rawls,RB,SEA,95.7,2017
Jacquizz Rodgers,RB,TB,95.9,2017
Corey Coleman,WR,CLE,96.4,2017
Adam Thielen,WR,MIN,98.6,2017
Andrew Luck,QB,IND,100.3,2017
Ben Roethlisberger,QB,PIT,101,2017
Jonathan Stewart,RB,CAR,101.4,2017
James White,RB,NE,102.7,2017
Denver Defense,DST,DEN,105.5,2017
Donte Moncrief,WR,IND,105.7,2017
Hunter Henry,TE,LAC,106.1,2017
Marvin Jones,WR,DET,106.3,2017
Eddie Lacy,RB,SEA,106.6,2017
John Brown,WR,ARI,108.6,2017
Philip Rivers,QB,LAC,108.7,2017
Seattle Defense,DST,SEA,110.3,2017
Corey Davis,WR,TEN,110.9,2017
Dak Prescott,QB,DAL,112.8,2017
Rex Burkhead,RB,NE,113.4,2017
Jamaal Williams,RB,GB,114.3,2017
Rishard Matthews,WR,TEN,116,2017
Darren Sproles,RB,PHI,116.3,2017
Matthew Stafford,QB,DET,116.5,2017
Ted Ginn Jr,WR,NO,116.9,2017
Jordan Matthews,WR,BUF,117.5,2017
Houston Defense,DST,HOU,119.4,2017
Cooper Kupp,WR,LA,121.3,2017
Zay Jones,WR,BUF,122,2017
Jamaal Charles,RB,DEN,123.3,2017
Kansas City Defense,DST,KC,123.9,2017
Eric Ebron,TE,DET,124,2017
Mike Wallace,WR,BAL,125.9,2017
Andy Dalton,QB,CIN,126.5,2017
Samaje Perine,RB,WAS,126.8,2017
Kevin White,WR,CHI,127,2017
New England Defense,DST,NE,128,2017
CJ Prosise,RB,SEA,129.4,2017
Danny Amendola,WR,NE,132.2,2017
Carson Wentz,QB,PHI,132.3,2017
Matt Forte,RB,NYJ,132.6,2017
Jack Doyle,TE,IND,132.6,2017
Jeremy Hill,RB,CIN,134.5,2017
Arizona Defense,DST,ARI,135.3,2017
Kenny Britt,WR,NE,136.2,2017
Cole Beasley,WR,DAL,136.2,2017
Eli Manning,QB,NYG,137.1,2017
Minnesota Defense,DST,MIN,138.1,2017
NY Giants Defense,DST,NYG,138.5,2017
Alvin Kamara,RB,NO,140,2017
Marlon Mack,RB,IND,141.3,2017
Carson Palmer,QB,ARI,142.3,2017
Robby Anderson,WR,NYJ,143.4,2017
Justin Tucker,K,BAL,145,2017
Wendell Smallwood,RB,PHI,146.1,2017
Austin Hooper,TE,ATL,146.6,2017
Kendall Wright,WR,CHI,148.4,2017
Stephen Gostkowski,K,NE,149.7,2017
Chris Carson,RB,SEA,149.7,2017
Jason Witten,TE,DAL,150.5,2017
Pittsburgh Defense,DST,PIT,150.8,2017
Taylor Gabriel,WR,ATL,151.4,2017
Kenny Golladay,WR,DET,151.6,2017
Coby Fleener,TE,NO,152.3,2017
Sterling Shepard,WR,NYG,152.3,2017
O.J. Howard,TE,TB,152.7,2017
Latavius Murray,RB,MIN,154.4,2017
DeAndre Washington,RB,LV,155.2,2017
Matt Bryant,K,ATL,155.7,2017
Dion Lewis,RB,NE,155.9,2017
Jay Cutler,QB,MIA,155.9,2017
Tyler Lockett,WR,SEA,156.1,2017
Jonathan Williams,RB,NO,156.1,2017
Donta Foreman,RB,HOU,157,2017
Giovani Bernard,RB,CIN,159.6,2017
Charcandrick West,RB,KC,160.7,2017
Wil Lutz,K,NO,161,2017
Carolina Defense,DST,CAR,161.5,2017
Philadelphia Defense,DST,PHI,161.6,2017
Tyrod Taylor,QB,BUF,162.4,2017
Mason Crosby,K,GB,162.6,2017
Mohamed Sanu,WR,ATL,162.9,2017
Baltimore Defense,DST,BAL,164.9,2017
Dan Bailey,K,DAL,168.2,2017
Atlanta Defense,DST,ATL,168.2,2017
Adam Vinatieri,K,IND,168.5,2017
Sebastian Janikowski,K,LV,172.7,2017
Todd Gurley,RB,LA,1.5,2018
David Johnson,RB,ARI,2.8,2018
LeVeon Bell,RB,PIT,3,2018
Antonio Brown,WR,PIT,4.7,2018
Ezekiel Elliott,RB,DAL,5.3,2018
Alvin Kamara,RB,NO,6.1,2018
Saquon Barkley,RB,NYG,6.5,2018
DeAndre Hopkins,WR,HOU,8.8,2018
Melvin Gordon,RB,LAC,9.1,2018
Leonard Fournette,RB,JAX,9.4,2018
Odell Beckham Jr,WR,NYG,11.2,2018
Kareem Hunt,RB,KC,11.4,2018
Christian McCaffrey,RB,CAR,12.7,2018
Julio Jones,WR,ATL,14.2,2018
Dalvin Cook,RB,MIN,15.6,2018
Michael Thomas,WR,NO,16,2018
Keenan Allen,WR,LAC,17.2,2018
Davante Adams,WR,GB,18.2,2018
Devonta Freeman,RB,ATL,19.1,2018
Jordan Howard,RB,CHI,20,2018
Rob Gronkowski,TE,NE,21,2018
A.J. Green,WR,CIN,21.3,2018
Joe Mixon,RB,CIN,23.3,2018
Tyreek Hill,WR,KC,23.7,2018
Mike Evans,WR,TB,25.5,2018
Stefon Diggs,WR,MIN,26,2018
T.Y. Hilton,WR,IND,27.4,2018
Travis Kelce,TE,KC,28.5,2018
Royce Freeman,RB,DEN,29,2018
LeSean McCoy,RB,BUF,29.9,2018
Aaron Rodgers,QB,GB,31.4,2018
Amari Cooper,WR,DAL,31.4,2018
Alex Collins,RB,BAL,31.5,2018
Kenyan Drake,RB,MIA,32.8,2018
Adam Thielen,WR,MIN,33.5,2018
Jerick McKinnon,RB,SF,34.3,2018
Larry Fitzgerald,WR,ARI,34.9,2018
Doug Baldwin,WR,SEA,37.6,2018
Lamar Miller,RB,HOU,38,2018
Zach Ertz,TE,PHI,39.1,2018
Jarvis Landry,WR,CLE,39.4,2018
JuJu Smith-Schuster,WR,PIT,41.2,2018
Chris Hogan,WR,NE,42.1,2018
Derrick Henry,RB,TEN,42.1,2018
Josh Gordon,WR,NE,44.1,2018
Mark Ingram,RB,NO,45.9,2018
Deshaun Watson,QB,HOU,46.5,2018
Jay Ajayi,RB,PHI,46.6,2018
Golden Tate,WR,PHI,46.7,2018
Demaryius Thomas,WR,HOU,47,2018
Marquise Goodwin,WR,SF,48.9,2018
Jimmy Graham,TE,GB,49.3,2018
